,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,alg,n_samples,n_nodes,n_edges,directed_graph,alg_run_time,alg_peak_mem,alg_only_mem,before_alg_mem,script_run_time,exp_date,seed
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,0.995359668277112,0.004640331722888053,1.0,er,pyr,10.0,50.0,1225.0,True,0.06243014335632324,572495.0,158800.0,413695.0,0.33972597122192383,2024-11-05 13:23:40.556556,4259459283.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
3,3,0.5014450867052025,0.49855491329479806,0.002890173410404391,1.0057971014492748,0.9942363112391935,19222.222222222237,9638.8888888889,9583.333333333348,False,False,False,692,347,345,,,,,,,,,,,,,,,,
4,4,0.5033259423503343,0.4966740576496675,0.0066518847006668495,1.0133928571428605,0.9867841409691598,704687.4999999991,354687.50000000076,349999.9999999996,False,False,False,902,454,448,,,,,,,,,,,,,,,,
5,5,0.4972375690607725,0.502762430939227,-0.005524861878454531,0.989010989010986,1.0111111111111142,27149999.999999747,13499999.999999847,13649999.999999886,False,False,False,1086,540,546,,,,,,,,,,,,,,,,
6,6,0.48903878583473864,0.5109612141652597,-0.021922428330521077,0.9570957095709602,1.0448275862068932,1029513888.88888,503472222.2222179,526041666.6666604,False,False,False,1186,580,606,,,,,,,,,,,,,,,,
7,7,0.48829701372074275,0.5117029862792586,-0.023405972558515883,0.9542586750788626,1.0479338842975225,39508928571.42823,19292091836.734535,20216836734.69375,False,False,False,1239,605,634,,,,,,,,,,,,,,,,
8,8,0.4914004914004902,0.5085995085995075,-0.01719901719901729,0.9661835748792268,1.0350000000000004,1490478515624.9922,732421874999.9944,758056640624.9944,False,False,False,1221,600,621,,,,,,,,,,,,,,,,
9,9,0.49090909090908946,0.5090909090909076,-0.01818181818181814,0.9642857142857143,1.037037037037037,55700231481481.34,27343749999999.85,28356481481481.33,False,False,False,1155,567,588,,,,,,,,,,,,,,,,
10,10,0.4975320829220158,0.5024679170779878,-0.004935834155972015,0.9901768172888022,1.0099206349206342,1978515624999986.2,984374999999997.0,994140624999996.2,False,False,False,1013,504,509,,,,,,,,,,,,,,,,
11,11,0.4850574712643698,0.5149425287356322,-0.02988505747126233,0.9419642857142897,1.0616113744075786,7.021565082644657e+16,3.4058626033058132e+16,3.615702479338858e+16,False,False,False,870,422,448,,,,,,,,,,,,,,,,
12,12,0.5171939477303965,0.48280605226959944,0.03438789546079712,1.0712250712250702,0.9335106382978734,2.465142144097228e+18,1.2749565972222193e+18,1.1901855468749985e+18,False,False,False,727,376,351,,,,,,,,,,,,,,,,
13,13,0.49576988155668406,0.5042301184433206,-0.008460236886636524,0.9832214765100599,1.0170648464163896,8.53769877958579e+19,4.232733912721893e+19,4.304964866863936e+19,False,False,False,591,293,298,,,,,,,,,,,,,,,,
14,14,0.49543378995433884,0.5045662100456627,-0.009132420091323874,0.9819004524886884,1.0184331797235016,2.727897799744891e+21,1.3514927455357134e+21,1.376405054209182e+21,False,False,False,438,217,221,,,,,,,,,,,,,,,,
15,15,0.4810996563573883,0.5189003436426105,-0.037800687285222276,0.9271523178807967,1.0785714285714263,7.893880208333392e+22,3.797743055555584e+22,4.0961371527777995e+22,False,False,False,291,140,151,,,,,,,,,,,,,,,,
16,16,0.5136612021857941,0.48633879781420597,0.027322404371588206,1.0561797752809063,0.9468085106382912,2.1815299987793136e+24,1.1205673217773563e+24,1.0609626770019576e+24,False,False,False,183,94,89,,,,,,,,,,,,,,,,
17,17,0.44117647058823356,0.5588235294117634,-0.11764705882352981,0.7894736842105251,1.2666666666666686,5.385454963235363e+25,2.3759360131920625e+25,3.009518950043284e+25,False,False,False,102,45,57,,,,,,,,,,,,,,,,
18,18,0.6136363636363646,0.3863636363636375,0.22727272727272713,1.588235294117645,0.6296296296296304,1.0360906153549439e+27,6.357828776041711e+26,4.0030773775077494e+26,False,False,False,44,27,17,,,,,,,,,,,,,,,,
19,19,0.3333333333333354,0.6666666666666642,-0.33333333333332876,0.500000000000005,1.99999999999998,1.5850542654951814e+28,5.283514218317305e+27,1.0567028436634504e+28,False,False,False,15,5,10,,,,,,,,,,,,,,,,
20,20,1.0,0.0,1.0,0.0,0.0,1.9073486328125562e+29,1.9073486328125562e+29,0.0,False,False,True,4,4,0,,,,,,,,,,,,,,,,
21,21,1.0,0.0,1.0,0.0,0.0,2.162526794572057e+30,2.162526794572057e+30,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
35,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
36,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
37,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
39,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
41,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
46,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
47,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
48,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,
